,Name,City,Cuisines,Average Cost,Aggregate Rating
2764,Bhagat Ji,Tucson,"Tea, Chinese, Bakery, Seafood",51,0.0
2765,Hangout Kathi Rolls,Eau Claire,"Desserts, French, Bakery, Fast Food, Cafe",52,0.0
2766,Makers & Bakers,Salt Lake City,"Tea, American, Desserts, Seafood",31,0.0
2767,Habibi Express,Moab,"Bakery, Mediterranean, BBQ",70,2.3
2768,Cafe Coffee Day,Hilton Head,"Bakery, BBQ, Italian",65,3.2
2769,China Town,Wichita,"Tea, Cafe, Mexican, Fast Food",33,2.9
2770,Domino's Pizza,St. Petersburg,"Tea, Seafood, Fast Food, Italian",76,3.3
2771,High Street Kitchen & Bar,Stockton,"Desserts, Tea, Mexican, BBQ, Fast Food, Mediterranean",100,2.9
2772,Pizza Hut,Gainesville,"Fast Food, Pizza, Desserts, Italian",42,3.1
2773,Sugar & Spice - Le Marche,Elmira,"Bakery, Pizza, Seafood",20,3.0
2774,The Kathis,Madison,"BBQ, Pizza, Desserts, Fast Food",67,2.8
2775,The Kylin Experience,Fort Dodge,"French, BBQ, Fast Food",20,3.3
2776,Arabian Nites,Bristol,"Fast Food, French, Pizza, Seafood",76,3.5
2777,Asia Kitchen,Twin Falls,"Tea, Cafe, BBQ, Desserts",67,3.7
2778,Dunkin' Donuts,Yakima,"Fast Food, Cafe, Pizza, Italian",92,3.7
2779,Krips Restaurant,South Bend,"Tea, Mediterranean, Fast Food",59,3.5
2780,McDonald's,Kahului,"Tea, Italian, Cafe, Indian, Seafood",28,3.5
2781,Yo! China,Richmond,"Desserts, Tea, Bakery, Cafe, American, Mediterranean",36,3.5
2782,RPM,Evansville,"Chinese, Desserts, Seafood",74,2.4
2783,By The Way - Bellagio,Montgomery,"Tea, Cafe, Mexican",32,2.9
2784,Red - Bellagio,Hagerstown,"Bakery, Desserts, Fast Food",78,3.4
2785,Soul Curry - Bellagio,Wichita,"Desserts, Tea, Italian, Mexican, Seafood",31,3.6
2786,Alpha 63,Fort Leonard Wood,"Desserts, Pizza, Bakery, Cafe, Mediterranean",12,2.7
2787,Bite-N-Sip,Santa Rosa,"Tea, Mexican, BBQ",93,2.6
2788,Lotus Garden,Dillingham,"Desserts, Cafe, BBQ, Chinese, Seafood",72,3.2
2789,Meethas Sweets,Fort Lauderdale,"Tea, Cafe, Mexican, Mediterranean",14,2.8
2790,Nirula's,Albuquerque,"Italian, Bakery, BBQ, Mediterranean, Seafood",96,2.5
2791,Punjabi Tadka,Myrtle Beach,"Bakery, BBQ, Fast Food, Chinese, Seafood",73,2.8
2792,Snack Bar,Petersburg,"Tea, French, Indian, Cafe",82,3.0
2793,South Indian Food,Cape Girardeau,"French, Pizza, BBQ",69,3.1
2794,Domino's Pizza,Fort Dodge,"Italian, Mexican, BBQ, Fast Food, Cafe, Seafood",13,2.4
2795,Southy,Bemidji,"Cafe, Pizza",60,2.4
2796,Coffee Shop - Centaur Hotel,El Paso,"Tea, Cafe, American, Italian",73,0.0
2797,Al Kuresh,Gulfport,"Desserts, Bakery, Cafe, Indian, Seafood",32,3.3
2798,Angan Bakery & Cafe,Charlotte Amalie,"Chinese, Pizza, Mediterranean, BBQ",99,2.9
2799,Bamboo Chopstix,Staunton,"Tea, Pizza, French, Bakery, Fast Food",80,2.7
2800,Bawarchis,Panama City,"Tea, Pizza, Bakery, BBQ, Chinese",39,2.9
2801,Bikanervala,Bristol,"Tea, Cafe, Fast Food",49,3.4
2802,Cafe Coffee Day,Fort Lauderdale,"Pizza, Desserts, Fast Food",83,3.0
2803,Chanakya Bar-Be-Que,West Palm Beach,"Pizza, Fast Food",68,3.2
2804,Chattisgarh Bhawan,Belleville,"Cafe, Bakery, Indian",49,2.7
2805,Chimney,Colorado Springs,"Cafe, Seafood",66,2.9
2806,China Town Sizzlers,Devils Lake,"Tea, Bakery, Indian, BBQ",94,3.4
2807,Chinese Bite,Mason City,"Cafe, Fast Food",39,2.8
2808,Chinese Garden,Alexandria,"Bakery, American, Desserts, Seafood",12,3.2
2809,Costa Coffee,Escanaba,"Cafe, Pizza, Bakery, BBQ",53,3.0
2810,Food Point,Lawton,"Desserts, Tea, Pizza, French, American",28,2.8
2811,Ikko,Huntsville,"Tea, French, Pizza, BBQ",14,2.9
2812,Jammu And Kashmir House,Oakland,"Tea, BBQ, American, Mediterranean, Seafood",100,2.9
2813,Laguna,Saipan,"Pizza, BBQ, Bakery, Chinese, Indian",40,3.4
2814,Momo Point,Boise,"Cafe, Pizza, French, Chinese, Seafood",26,3.2
2815,New Zaika,Kansas City,"Bakery, Desserts, Fast Food",25,3.1
2816,Organic Express,Bellingham,"Tea, Pizza, Italian, Bakery, BBQ, Chinese",97,3.0
2817,Tamil Nadu House Canteen,Kona,"Cafe, Pizza, BBQ, Fast Food",53,3.4
2818,The Chocolate Avenue,Greer,"Tea, French, Chinese, Cafe",15,3.4
2819,Chimney Sizzlers,Greer,"Tea, Pizza, Mexican, Bakery, Fast Food",77,3.7
2820,Gujarat Bhawan Restaurant,Binghamton,"Italian, Mexican, BBQ, Fast Food, Cafe, Seafood",90,3.7
2821,It潴籹 Sinful,South Bend,"Desserts, French, BBQ, Bakery, Seafood",26,3.5
2822,Jakoi,Bakersfield,"Tea, BBQ",90,3.5
2823,Arunachal Bhawan,Valparaiso,"Cafe, Desserts, Seafood",19,0.0
2824,Hotel New Tamil Nadu,Orlando,"Desserts, Italian, Fast Food, Mediterranean, Seafood",13,0.0
2825,Milan Food,Orlando,"Cafe, BBQ, Seafood",25,0.0
2826,Playboy Club,Chicago,"Bakery, American, BBQ, Italian",66,0.0
2827,Moti Mahal Delux,Portsmouth,"Tea, Cafe, BBQ",52,2.4
2828,The Treat,North Platte,"Pizza, French, BBQ, Cafe, Mediterranean, Seafood",42,2.1
2829,Break Fast Point,San Angelo,"Tea, Cafe, Indian",40,3.3
2830,Breakfast Corner,Louisville,"Tea, Pizza, French, Bakery, Cafe",46,3.1
2831,Domino's Pizza,Hibbing,"Pizza, BBQ",35,3.0
2832,Frontier,Waco,"Tea, Cafe, Mexican, Seafood",28,3.2
2833,Prince Cafe,Birmingham,"Pizza, Italian, Bakery, Fast Food, Cafe",41,2.9
2834,Spicy Eleven,Arcata,"Tea, Pizza, Indian, Desserts",75,3.1
2835,Vaishno Punjabi Dhaba,Brunswick,"Tea, Bakery, Pizza",82,3.0
2836,Adarsh Bhojnalaya,Martha's Vineyard,"Tea, Pizza, Italian, Bakery, Chinese",30,3.4
2837,Al Haj Bakery,Gainesville,"Tea, Seafood, Desserts, Fast Food",99,3.0
2838,Anmol Chicken,Kotzebue,"Bakery, Mexican, Indian, BBQ",58,3.1
2839,Babu Ram Paranthe Wale,Santa Barbara,"French, Bakery, American, Seafood",11,3.2
2840,Bhaijaan Kababs,Ketchikan,"Desserts, Tea, Pizza, French, Bakery",89,3.2
2841,Bhikharam's,Abilene,"Bakery, Pizza, Desserts",89,3.0
2842,Bikanervala,Lawton,"Tea, Cafe, Bakery, Desserts",17,2.8
2843,Brijwasi Bhoj,Duluth,"Pizza, French, Fast Food, Mediterranean, Seafood",61,3.1
2844,Brijwasi Restaurant,Santa Rosa,"French, Pizza, BBQ",49,3.2
2845,Comesum,Madison,"Pizza, French, Mexican, BBQ, Seafood",77,2.5
2846,Inderpuri Restaurant,Gulfport,"Pizza, BBQ, Desserts, Fast Food",47,3.0
2847,Kamdhenu Family Corner,Charlottesville,"French, Pizza, BBQ, Seafood",69,2.8
2848,Khalsa Hindu Hotel,Fort Lauderdale,"Tea, Chinese, Pizza, Seafood",23,2.9
2849,Mahalaxmi Mishthan Bhandar,Dodge City,"Tea, Cafe, BBQ, Chinese, Indian",27,3.3
2850,McDonald's,Scottsbluff,"Tea, Bakery",26,3.0
2851,McDonald's,Latrobe,"Tea, Pizza, Fast Food, Chinese, Seafood",58,3.0
2852,Natraj Cafe,Dodge City,"Desserts, Italian, French, Bakery, Fast Food",81,3.4
2853,Padam Chaat Corner,Bloomington,"Tea, Mexican, Bakery, BBQ, Cafe",83,3.0
2854,Pandit Ved Prakash Lemon Wale,Kalamazoo,"Pizza, Mediterranean, Desserts, Seafood",87,3.2
2855,Pt. Babu Ram Devi Dayal Paranthe Wale,Sarasota,"Tea, BBQ, Desserts",51,3.0
2856,Rabri Bhandar,Toledo,"Pizza, Bakery, Fast Food, Cafe, Indian",90,3.2
2857,Ram Parshad Makhan Lal,Greensboro,"Tea, Bakery, BBQ, Cafe",39,3.4
2858,Rambhoj,Kansas City,"French, Pizza, Seafood",100,2.9
2859,Rehmatullah's Hotel,Detroit,"Desserts, Tea, Pizza, Italian, Mediterranean",28,3.0
2860,Sharma Bhojnalay,Bend,"Seafood, BBQ, Desserts, Fast Food",99,3.0
2861,Shree Balaji Chaat Bhandar,Rockford,"French, Bakery, BBQ, Italian",97,3.2
2862,Shri Duli Chand Naresh Gupta,Santa Barbara,"Tea, Mexican, Pizza, Desserts",39,3.4
2863,Shri Hari Sharnam,Everett,"Fast Food, Seafood, Italian",75,3.1
2864,Sindhi Chicken,Panama City,"Bakery, Pizza, Indian, Cafe",74,2.9
2865,Soni Bhojnalaya,El Paso,"Cafe, Pizza, Indian, Mediterranean",61,3.0
2866,Super Restaurant,Belleville,"Tea, American, BBQ, Italian",96,2.9
2867,Tiwari Ji Confectioner,Yakutat,"Bakery, Pizza, Indian, BBQ",78,3.1
2868,Wah Ji Wah,Williston,"Tea, Italian, BBQ, Fast Food, Cafe, American",53,2.8
2869,Zaika Mughlai Foods,Portsmouth,"Italian, BBQ, Fast Food, Cafe, Seafood",91,3.3
2870,Al Yousuf,Denver,"Desserts, Tea, Pizza, French, American",32,3.7
2871,Amritsari Lassi Wala,Yakima,"Cafe, American, Desserts, Seafood",37,3.8
2872,Annapurna Bhandar,Lubbock,"French, Chinese, Desserts, Fast Food",78,3.8
2873,Bishan Swaroop Chaat Bhandar,Augusta,"Tea, Bakery, Pizza",19,3.7
2874,Gole Hatti,Owensboro,"Desserts, Bakery, BBQ, Indian, Seafood",18,3.8
2875,Haldiram's,Augusta,"Cafe, Desserts, Fast Food",41,3.9
2876,Kanwarji's,Yakima,"Pizza, Mexican, Bakery, Fast Food, Cafe, Mediterranean",37,3.9
2877,Kedarnath Prem Chand Halwai,Myrtle Beach,"Desserts, Tea, Fast Food, American, Mediterranean, Seafood",61,3.7
2878,Keventers,Ponce,"Cafe, BBQ, Seafood",76,3.7
2879,Khan Omelette Corner,Missoula,"Pizza, Mexican, Bakery, Fast Food, Indian, Seafood",86,3.6
2880,Natraj Dahi Bhalle Wala,Niagara Falls,"Tea, Cafe, Indian, Fast Food",88,3.9
2881,Old Famous Jalebi Wala,Mission,"Tea, Indian, American, Pizza",44,3.9
2882,Pt. Gaya Prasad Shiv Charan Paranthe Wale,Aguadilla,"Desserts, Tea, French, Fast Food, Mediterranean",63,3.6
2883,Pt.Kanhaiyalal & Durga Prasad Dixit Paranthe Wale,Evansville,"Tea, Pizza, BBQ, Fast Food, Indian",45,3.6
2884,Shiv Misthan Bhandar,Miami,"Cafe, American, Desserts, Fast Food",59,3.8
2885,Special Jalebi Wala,Santa Fe,"Fast Food, BBQ, Desserts, Italian",59,3.5
2886,Tewari Bros Confectioners,St. Cloud,"Pizza, Bakery, BBQ, American, Seafood",95,3.5
2887,Annapurna Chaat & Sweets,Kansas City,"Tea, Bakery, Fast Food, Cafe, American, Mediterranean",59,0.0
2888,Delhi-6 The Chicken Planet,Omaha,"Tea, Cafe, Pizza, Indian",54,0.0
2889,Dessi Food,Orlando,"Chinese, BBQ, Fast Food",32,0.0
2890,Foody Dragon,Gulfport,"Tea, Seafood, Cafe, Fast Food",22,0.0
2891,Grover Eating Point,Prescott,"Desserts, Pizza, Cafe, American, Seafood",37,0.0
2892,Hotel 121 Shakahari,Daytona Beach,"Pizza, Indian, Desserts",61,0.0
2893,Lala Chaap Corner,Niagara Falls,"Tea, Pizza, Cafe, Mediterranean, Seafood",31,0.0
2894,Meghraj & Sons,Longview,"Tea, Pizza, BBQ, Desserts",61,0.0
2895,Old Kheer Shop,Detroit,"Mexican, Indian, Desserts, Fast Food",54,0.0
2896,Punjabi Chicken,Santa Fe,"Chinese, Mediterranean, Desserts, Seafood",23,0.0
2897,Ratan Singh,Dodge City,"Tea, Chinese, Fast Food",28,0.0
2898,Shri Bhujia Bhandar,Bozeman,"Tea, Chinese, Desserts, Italian",87,0.0
2899,Chaina Ram Sindhi Confectioners,Atlanta,"Desserts, Pizza, BBQ, Mediterranean, Seafood",34,4.2
2900,Giani's di Hatti,Providence,"Tea, Mexican, Bakery",90,4.3
2901,Jung Bahadur Kachori Wala,Rochester,"Desserts, Pizza, Bakery, Fast Food, Chinese",15,4.1
2902,Lakhori - Haveli Dharampura,Islip,"Cafe, Pizza, Desserts, Italian",70,4.4
2903,Milk n More,Redding,"Tea, Cafe, Bakery, BBQ",26,3.1
2904,Kuremal Mohan Lal Kulfi Wale,Santa Maria,"Desserts, Italian, BBQ, Bakery, American, Seafood",84,4.5
2905,Hira Chaat Corner,Prescott,"Tea, Indian, Seafood",91,3.6
2906,Kuremal Mahavir Prasad Kulfi Wale,Salina,"French, BBQ, Chinese, Desserts",18,3.9
2907,Shakahari Restaurant,Oklahoma City,"Cafe, Bakery, Mediterranean, Seafood",81,3.6
2908,Shri Gujrat Namkeen Bhandar,Beaumont,"Tea, Italian, Bakery, BBQ, Mediterranean",78,3.6
2909,Standard Sweets,Pellston,"Desserts, French, Mexican, BBQ, Fast Food",56,3.6
2910,Sudarshan,San Francisco,"Fast Food, Bakery, Mediterranean, Italian",53,3.7
2911,Ustad Moinuddin Kebab,San Francisco,"Tea, Bakery, American, Fast Food",50,3.7
2912,Ashok Chaat Corner,Saipan,"Pizza, French, Bakery, Fast Food, Seafood",18,4.1
2913,Jain Coffee House,Pensacola,"Cafe, Indian, Mediterranean, BBQ",41,4.1
2914,Shyam Sweets,Arcata,"Cafe, Bakery, Seafood, Fast Food",87,4.1
2915,Spicy Food Court,Ogdensburg,"Chinese, American, BBQ, Fast Food",77,2.7
2916,Aristocrat Sweet Shop,Valdosta,"Mexican, Bakery, BBQ, Fast Food, Indian",71,3.1
2917,Balluchi's - The Royal Cuisine,Madison,"BBQ, Indian, Desserts, Fast Food",87,3.0
2918,Bunty Dhaba,Walla Walla,"Tea, Chinese, Seafood, Fast Food",73,3.2
2919,Gopal's Restaurant & Caterer's,Reno,"French, Bakery, Pizza, Seafood",56,2.7
2920,Horn Please,Hibbing,"Bakery, American, Cafe, Seafood",36,3.0
2921,Khatey Raho,Paducah,"Chinese, Pizza, Desserts, Seafood",81,3.3
2922,Kolkata Biryani House,Roanoke,"Mexican, Pizza, BBQ, Seafood",39,3.4
2923,Kolkata Hot Kathi Roll,Worcester,"French, Bakery, Fast Food",25,3.2
2924,Madly Bangalee,Milwaukee,"Pizza, American, Mediterranean, Desserts",59,2.7
2925,Oh! China,Brownsville,"Tea, Seafood",97,2.9
2926,Punjabi Zaika,Minot,"Pizza, BBQ, Seafood",32,2.9
2927,Rabi Snacks Corner,Killeen,"BBQ, Desserts, Italian",92,3.4
2928,Republic of Chicken,Walla Walla,"Tea, Chinese, Pizza",32,2.7
2929,Roll n Roast,Clarksburg,"Tea, Cafe, Indian, Mediterranean, Seafood",63,3.3
2930,Roller's High,Roswell,"Pizza, Mexican, Bakery, Fast Food, Indian",95,3.2
2931,Royal Chick 'N',Birmingham,"Tea, Cafe, BBQ, Fast Food, Chinese",41,3.3
2932,Royal Kolkata Biryani,Pellston,"Tea, BBQ, Mediterranean, Seafood",87,2.7
2933,Sameer's Restaurant,Victoria,"Desserts, Bakery, BBQ, Indian, Mediterranean, Seafood",27,2.5
2934,Sanjha Chulha,Saipan,"Tea, BBQ, Desserts, Fast Food",67,2.7
2935,Shepherd's,Minot,"Tea, Chinese, Mexican, Seafood",58,3.1
2936,Soya King,Worcester,"Tea, American, BBQ",55,2.6
2937,Tasty Tonight,Pellston,"Tea, Bakery",97,3.1
2938,The Mustard,Fayetteville,"Tea, Bakery, Mexican, BBQ",86,2.9
2939,Tibb's Frankie,Wichita Falls,"Tea, BBQ, Seafood",35,3.2
2940,Wazwaan Restaurant,Dillingham,"Pizza, Italian, Mexican, Fast Food, Seafood",76,3.2
2941,Yummi Kolkataa,Greenville,"Tea, Cafe, Indian, American",87,3.2
2942,Annapurna Sweet House,Marquette,"French, Bakery, Desserts, Seafood",36,3.7
2943,Ashirbad,Hilton Head,"Pizza, Bakery, Mediterranean, Seafood",50,3.6
2944,Chocolatiers - The Chocolate Boutique,Fairbanks,"Chinese, Bakery, Fast Food",52,3.8
2945,Dadu Cutlet Shop,Evansville,"Tea, Cafe, BBQ, Fast Food, Chinese",74,3.7
2946,Dogs & Wiches,Laramie,"Cafe, Bakery, Pizza, Seafood",33,3.9
2947,Maa Tara,Laramie,"Desserts, Italian, BBQ, Cafe, Seafood",28,3.6
2948,My Spice Kitchen,Memphis,"Desserts, French, Bakery, Fast Food, Mediterranean, Seafood",82,3.5
2949,The Singing Tree,Binghamton,"Bakery, Desserts",73,3.7
2950,Baba Chicken Ludhiana Wale,Grand Junction,"Tea, Pizza, Indian, Fast Food",12,0.0
2951,Bengal Snacks,La Crosse,"Bakery, American, Desserts",35,0.0
2952,Brownies & More,Charlotte Amalie,"Tea, Cafe, Pizza, BBQ",29,0.0
2953,Cafe Coffee Day,Mission,"Tea, Pizza, BBQ, Cafe, Mediterranean",39,0.0
2954,Craving Cure,Roanoke,"American, BBQ, Cafe, Indian, Seafood",38,0.0
2955,Cuisine,Prescott,"Desserts, Cafe, Bakery, Chinese, Seafood",89,0.0
2956,Food Nation,Greer,"Tea, BBQ, Desserts",23,0.0
2957,Kamala Fast Food & Chinese,Albuquerque,"Tea, Cafe, Pizza, American",63,0.0
2958,Lokenath Sweets,Norfolk,"Fast Food, Seafood",15,0.0
2959,Me and My Cake,Missoula,"Desserts, Pizza, Italian, Mexican, Fast Food, Cafe",73,0.0
2960,Chulha Punjabi Da,Columbus,"Desserts, Tea, Pizza, Bakery, Chinese",55,2.4
2961,Viva Hyderabad,Trenton,"Desserts, Tea, Italian, Bakery, Cafe, American",40,2.3
2962,Metro Grill,Jacksonville,"Tea, Pizza, Desserts",83,3.4
2963,Cafe Cruise,Bismarck,"Cafe, Pizza, BBQ, Chinese, Indian, Seafood",13,2.8
2964,Etal The Lounge Bar,Santa Maria,"Desserts, Pizza, BBQ, Bakery, Indian",71,3.2
2965,"Game of Legends - Sports Bar, Grill, & Lounge",Gunnison,"Tea, Pizza, Desserts",65,3.5
2966,Al-raaya,Moab,"Tea, Cafe, Mexican, Desserts",23,3.1
2967,Authentique Bites,Ithaca,"Tea, Indian, Mediterranean, Desserts",58,3.2
2968,Embassy,Pittsburgh,"French, Bakery, Indian, Pizza",97,3.0
2969,Narang's Bake 'n' Cake,Latrobe,"Cafe, Mexican, Seafood",26,3.0
2970,New Darvesh,Charlotte Amalie,"French, BBQ, Mediterranean, Desserts",95,3.0
2971,1UP,Kansas City,"Tea, Bakery, BBQ, Cafe, Mediterranean",17,3.5
2972,Gujarati Samaj Santushti,Sacramento,"Tea, Pizza, Fast Food",12,3.6
2973,Hind Bakery & Chinese Fast Food,St. Petersburg,"Pizza, BBQ, Fast Food, Chinese, Mediterranean, Seafood",94,0.0
2974,Hot Pot,Durango,"Seafood, Bakery, Fast Food",21,0.0
2975,Punjabi Flavour,Knoxville,"Tea, Bakery, Cafe, Indian, Seafood",41,0.0
2976,Saras Fast Food Feast,Lynchburg,"Tea, BBQ, Fast Food, Cafe, Mediterranean",62,0.0
2977,Shama Chicken Corner,Brownsville,"Bakery, Indian, Cafe",98,0.0
2978,The Night Owl,Myrtle Beach,"Desserts, Tea, American, Bakery, Indian, Seafood",12,0.0
2979,Wimpy Sweets And Confectioners,Great Falls,"French, Cafe, Fast Food",46,0.0
2980,Boa Village,Charlottesville,"Tea, Seafood, Italian",46,4.0
2981,Anand Ji Restaurant,Hilton Head,"Bakery, BBQ",20,3.1
2982,Baskin Robbins,Tampa,"Desserts, Pizza, French, BBQ, Seafood",55,3.3
2983,Bhoj Restaurant,Omaha,"Pizza, Indian, Fast Food",40,2.8
2984,Brijwasi Restaurant,Sarasota,"Chinese, BBQ, Seafood",50,2.8
2985,Cafe Coffee Day - The Lounge,Brunswick,"Cafe, Pizza, Desserts",70,3.2
2986,Cafe Coffee Day,Mosinee,"Pizza, Mexican, Bakery, Fast Food, Cafe",40,2.9
2987,Chaat Tadka,Dubuque,"Tea, Cafe, Pizza",98,2.8
2988,Chawla's Unique Chicken Corner,Hagerstown,"Bakery, Indian, Seafood",24,3.2
2989,Dawat Khana,Marquette,"Mexican, Desserts, Fast Food",55,2.5
2990,Eat n Joy,Lynchburg,"Bakery, Seafood",22,3.2
2991,Khan Chicken Biryani,Eau Claire,"Desserts, Italian, French, Bakery, Fast Food",52,2.9
2992,Kolkata Roll,Pellston,"Pizza, Seafood",67,2.8
2993,R. Ahmad Food,Dallas,"Desserts, Bakery, BBQ, Chinese, Mediterranean, Seafood",58,3.0
2994,Sab Ke Khatir,Burbank,"Pizza, Bakery, Desserts, Fast Food",76,3.1
2995,Bon Bon Pastry Shop,Cape Girardeau,"Desserts, Tea, Pizza, French, Mexican, Cafe",24,3.5
2996,Moksha,Austin,"Cafe, Bakery, BBQ, Fast Food",12,3.7
2997,Pebble Street,Charleston,"Fast Food, Cafe, Indian, Italian",37,3.9
2998,Kebab Gallery,Kona,"Desserts, Mexican, BBQ, Fast Food, American",23,0.0
2999,Amber,Norfolk,"Chinese, Pizza, Cafe, Seafood",36,2.6
3000,Attitude Kitchen & Bar,Bristol,"Tea, Pizza, Mexican, Fast Food, American",42,2.9
3001,Cafe Coffee Day,San Juan,"BBQ, Cafe, Pizza, Desserts",97,3.4
3002,Castle 9,Dallas,"Mexican, Bakery, BBQ, Fast Food, Cafe, American",32,3.1
3003,Costa Coffee,Cheyenne,"Bakery, BBQ, Fast Food, Mediterranean, Seafood",79,3.4
3004,Delhi Darbar Dhaba,Seattle,"Cafe, Pizza, Mediterranean",69,3.2
3005,Garam Dharam,Eau Claire,"Cafe, American, Desserts, Fast Food",100,3.4
3006,Gola Sizzlers,Pocatello,"Desserts, French, Bakery, Fast Food, Cafe",34,3.0
3007,Indian Coffee House,Sioux City,"Cafe, Seafood, Italian",12,3.3
3008,My Bar Lounge & Restaurant,Petersburg,"Desserts, French, Fast Food, Indian, Seafood",37,2.7
3009,My Bar Square,Kansas City,"Tea, Mediterranean, Desserts, Seafood",85,2.5
3010,Sagar Ratna,Arcata,"Fast Food, Pizza, Bakery, Seafood",77,3.4
3011,The Immigrant Cafe,Yakima,"Cafe, Pizza, Bakery, BBQ",75,3.2
3012,MOB Brewpub,South Bend,"Cafe, Mexican, American, BBQ",67,4.7
3013,Naturals Ice Cream,Brownsville,"Desserts, Fast Food, Chinese, Mediterranean, Seafood",75,4.9
3014,Zabardast Indian Kitchen,Detroit,"Bakery, Desserts, Seafood",76,4.7
3015,Anand Restaurant,Amarillo,"Fast Food, Seafood, Desserts, Italian",53,3.6
3016,Berco's,Scottsbluff,"Chinese, Desserts, Tea, Italian, Cafe, Seafood",71,3.9
3017,Blues,West Yellowstone,"Tea, Pizza, Bakery, Cafe, American",57,3.7
3018,Burger King,San Diego,"Pizza, Italian, French, Fast Food, Seafood",20,3.8
3019,Burger Singh,Cedar City,"Desserts, Italian, Bakery, Cafe, Seafood",62,3.6
3020,Cafe Coffee Day The Square,Albany,"Tea, Chinese, BBQ, Seafood",25,3.6
3021,Cafe Dalal Street,Alamosa,"Cafe, Mexican, BBQ",99,3.7
3022,Cafe Hawkers,Dallas,"Bakery, Indian, BBQ",72,3.7
3023,Cafe Public Connection,Sioux Falls,"Bakery, Pizza, Mediterranean, Italian",57,3.7
3024,Caf愆 MRP,Bend,"Tea, French, Mexican, Cafe",45,3.6
3025,Caffe Tonino,Cheyenne,"Pizza, American, BBQ, Seafood",97,3.9
3026,Cha Bar,Grand Junction,"Tea, Bakery, American, BBQ",10,3.9
3027,Chaayos,Charleston,"Pizza, Italian, BBQ, Fast Food, Cafe",16,3.9
3028,Chew - Pan Asian Cafe,Yakima,"Fast Food, Pizza, Seafood",71,3.9
3029,China Garden,St. Cloud,"Desserts, Tea, Pizza, Fast Food, American",10,3.9
3030,Desi Vibes,Prescott,"Tea, Mexican, American, Seafood",33,3.9
3031,Domino's Pizza,Grand Rapids,"Desserts, Cafe, Bakery, BBQ, Chinese",46,3.7
3032,Dunkin' Donuts,Montgomery,"Desserts, Tea, French, Bakery, Seafood",26,3.8
3033,Dunkin' Donuts,Shreveport,"Tea, Bakery, BBQ, Fast Food",94,3.9
3034,Embassy,Daytona Beach,"French, Bakery, Indian, Seafood",94,3.5
3035,FLYP@MTV,Lake Charles,"BBQ, Mediterranean, Desserts, Seafood",79,3.9
3036,GoGourmet,Nashville,"Tea, Cafe, Indian, Mediterranean",34,3.7
3037,Haldiram's,Hagerstown,"Tea, Pizza, Cafe, American, Seafood",81,3.9
3038,Indian Grill Company,Manchester,"Desserts, Tea, Italian, BBQ, Chinese, Seafood",44,3.7
3039,Jain Chawal Wale,Alpena,"Desserts, Pizza, Italian, Mexican, Cafe",20,3.8
3040,Jungle Jamboree,Cody,"Seafood, Pizza, Mediterranean, Fast Food",93,3.8
3041,Kake Da Hotel,Lexington,"Pizza, Italian, French, BBQ, Cafe",41,3.5
3042,Kebab Xpress,Manhattan,"Desserts, American, BBQ, Fast Food",14,3.5
3043,KFC,Honolulu,"Pizza, Bakery",94,3.7
3044,Khan Chacha,Lynchburg,"Tea, Pizza, Bakery, Seafood",14,3.7
3045,Kinbuck 2,Brunswick,"French, BBQ, Seafood, Italian",82,3.9
3046,La Americana,Roanoke,"Pizza, Mexican, Bakery, BBQ, Cafe, Indian",96,3.7
3047,Lady Baga,Staunton,"Tea, Seafood, BBQ, Fast Food",49,3.7
3048,Life Caffe,La Crosse,"Pizza, French, Bakery, BBQ, Fast Food",44,3.6
3049,Lord of the Drinks,Huntsville,"French, Pizza, Fast Food",70,3.9
3050,McDonald's,Lake Charles,"Tea, Chinese, Cafe",80,3.8
3051,McDonald's,Columbus,"Desserts, Pizza, French, BBQ, Indian, Seafood",75,3.7
3052,Moets Arabica,Rockford,"Tea, Bakery, Indian, Fast Food",43,3.5
3053,Mother India,St. Cloud,"French, Bakery, Indian, Cafe",30,3.9
3054,Mughlai Junction,Des Moines,"Chinese, Pizza, Bakery, Seafood",27,3.9
3055,My Bar Headquarters,Williston,"Bakery, Mediterranean, Seafood",87,3.7
3056,Nando's,Green Bay,"Cafe, Pizza, Bakery, Fast Food",27,3.7
3057,Nizam's Kathi Kabab,Oklahoma City,"Desserts, Tea, Cafe, BBQ, Chinese",39,3.8
3058,Oh My God,Charlotte Amalie,"Desserts, Pizza, Italian, Bakery, Cafe",83,3.8
3059,Open House Cafe,Florence,"Desserts, Pizza, Bakery, Indian, Mediterranean, Seafood",94,3.8
3060,Parikrama - The Revolving Restaurant,Fort Wayne,"Tea, Pizza, Italian, Mexican, Bakery, BBQ",80,3.8
3061,Pind Balluchi,Jacksonville,"Bakery, BBQ, Seafood",89,3.6
3062,Pizza Hut,Punta Gorda,"Desserts, Tea, Bakery, American, Mediterranean, Seafood",68,3.5
3063,Playboy Cafe,Minneapolis,"Cafe, Mexican, Bakery",60,3.7
3064,Privee',Madison,"Desserts, French, Mexican, Fast Food, Cafe, Seafood",30,3.6
3065,Punjabi By Nature,Brainerd,"Pizza, Bakery, Fast Food, American, Mediterranean, Seafood",45,3.7
3066,Quote - The Eclectic Bar and Lounge,Richmond,"Pizza, Fast Food",49,3.5
