origin,destination,cost,duration,distance
Sacramento,Oakland,,1 hour 22 mins,131 km
Sacramento,Santa Barbara,,6 hours 7 mins,622 km
Sacramento,Stockton,,50 mins,78.0 km
Sacramento,Santa Rosa,,1 hour 42 mins,157 km
Sacramento,Bakersfield,,4 hours 20 mins,447 km
Sacramento,Santa Ana,,6 hours 30 mins,670 km
Sacramento,Santa Maria,,5 hours 4 mins,522 km
Sacramento,San Jose,,2 hours 0 mins,194 km
Sacramento,Burbank,,5 hours 40 mins,603 km
Sacramento,Arcata,,5 hours 13 mins,477 km
Sacramento,Butte,,1 hour 33 mins,135 km
Sacramento,Palm Springs,,7 hours 25 mins,789 km
Sacramento,Los Angeles,,5 hours 55 mins,619 km
Sacramento,Long Beach,,6 hours 13 mins,655 km
Sacramento,San Francisco,,1 hour 31 mins,141 km
Sacramento,Monterey,,3 hours 1 min,301 km
Fresno,Newark,,1 day 18 hours,"4,675 km"
Fresno,San Diego,,5 hours 20 mins,544 km
Fresno,Redding,,5 hours 4 mins,538 km
Fresno,Sacramento,,2 hours 44 mins,273 km
Fresno,San Luis Obispo,,2 hours 20 mins,221 km
Fresno,Oakland,,2 hours 47 mins,282 km
Fresno,Santa Barbara,,3 hours 54 mins,372 km
Fresno,Stockton,,1 hour 59 mins,202 km
Fresno,Santa Rosa,,3 hours 39 mins,374 km
Fresno,Bakersfield,,1 hour 43 mins,175 km
Fresno,Santa Ana,,4 hours 4 mins,403 km
Fresno,Santa Maria,,2 hours 51 mins,271 km
Fresno,San Jose,,2 hours 35 mins,241 km
Fresno,Burbank,,3 hours 14 mins,336 km
Fresno,Arcata,,7 hours 25 mins,734 km
Fresno,Butte,,4 hours 9 mins,412 km
Fresno,Palm Springs,,4 hours 58 mins,522 km
Fresno,Los Angeles,,3 hours 28 mins,352 km
Fresno,Long Beach,,3 hours 47 mins,388 km
Fresno,San Francisco,,3 hours 0 mins,300 km
Fresno,Monterey,,2 hours 42 mins,249 km
San Luis Obispo,Newark,,1 day 19 hours,"4,720 km"
San Luis Obispo,San Diego,,5 hours 0 mins,503 km
San Luis Obispo,Redding,,6 hours 22 mins,690 km
San Luis Obispo,Sacramento,,4 hours 32 mins,466 km
San Luis Obispo,Fresno,,2 hours 20 mins,221 km
San Luis Obispo,Oakland,,3 hours 26 mins,360 km
San Luis Obispo,Santa Barbara,,1 hour 37 mins,152 km
San Luis Obispo,Stockton,,3 hours 50 mins,390 km
San Luis Obispo,Santa Rosa,,4 hours 20 mins,454 km
San Luis Obispo,Bakersfield,,2 hours 14 mins,219 km
San Luis Obispo,Santa Ana,,3 hours 50 mins,359 km
San Luis Obispo,Santa Maria,,34 mins,51.3 km
San Luis Obispo,San Jose,,2 hours 50 mins,297 km
San Luis Obispo,Burbank,,3 hours 7 mins,311 km
San Luis Obispo,Arcata,,8 hours 5 mins,814 km
San Luis Obispo,Butte,,5 hours 55 mins,609 km
San Luis Obispo,Palm Springs,,4 hours 45 mins,478 km
San Luis Obispo,Los Angeles,,3 hours 14 mins,304 km
San Luis Obispo,Long Beach,,3 hours 29 mins,337 km
San Luis Obispo,San Francisco,,3 hours 34 mins,372 km
San Luis Obispo,Monterey,,2 hours 19 mins,227 km
Oakland,Newark,,1 day 18 hours,"4,652 km"
Oakland,San Diego,,7 hours 34 mins,789 km
Oakland,Redding,,3 hours 11 mins,340 km
Oakland,Sacramento,,1 hour 21 mins,132 km
Oakland,Fresno,,2 hours 50 mins,281 km
Oakland,San Luis Obispo,,3 hours 29 mins,360 km
Oakland,Santa Barbara,,5 hours 3 mins,511 km
Oakland,Stockton,,1 hour 14 mins,115 km
Oakland,Santa Rosa,,1 hour 0 mins,94.0 km
Oakland,Bakersfield,,4 hours 11 mins,438 km
Oakland,Santa Ana,,6 hours 19 mins,647 km
Oakland,Santa Maria,,4 hours 0 mins,411 km
Oakland,San Jose,,51 mins,65.2 km
Oakland,Burbank,,5 hours 29 mins,581 km
Oakland,Arcata,,4 hours 45 mins,454 km
Oakland,Butte,,2 hours 44 mins,260 km
Oakland,Palm Springs,,7 hours 13 mins,766 km
Oakland,Los Angeles,,5 hours 43 mins,597 km
Oakland,Long Beach,,6 hours 2 mins,633 km
Oakland,San Francisco,,21 mins,19.9 km
Oakland,Monterey,,1 hour 54 mins,179 km
Santa Barbara,Newark,,1 day 18 hours,"4,617 km"
Santa Barbara,San Diego,,3 hours 29 mins,352 km
Santa Barbara,Redding,,7 hours 56 mins,843 km
Santa Barbara,Sacramento,,6 hours 6 mins,618 km
Santa Barbara,Fresno,,3 hours 53 mins,374 km
Santa Barbara,San Luis Obispo,,1 hour 37 mins,153 km
Santa Barbara,Oakland,,4 hours 59 mins,512 km
Santa Barbara,Stockton,,5 hours 23 mins,543 km
Santa Barbara,Santa Rosa,,5 hours 54 mins,607 km
Santa Barbara,Bakersfield,,2 hours 28 mins,236 km
Santa Barbara,Santa Ana,,2 hours 19 mins,207 km
Santa Barbara,Santa Maria,,1 hour 13 mins,104 km
Santa Barbara,San Jose,,4 hours 24 mins,450 km
Santa Barbara,Burbank,,1 hour 35 mins,159 km
Santa Barbara,Arcata,,9 hours 39 mins,967 km
Santa Barbara,Butte,,7 hours 28 mins,762 km
Santa Barbara,Palm Springs,,3 hours 14 mins,327 km
Santa Barbara,Los Angeles,,1 hour 42 mins,152 km
Santa Barbara,Long Beach,,1 hour 58 mins,185 km
Santa Barbara,San Francisco,,5 hours 8 mins,525 km
Santa Barbara,Monterey,,3 hours 53 mins,380 km
Stockton,Newark,,1 day 18 hours,"4,599 km"
Stockton,San Diego,,7 hours 2 mins,736 km
Stockton,Redding,,3 hours 10 mins,338 km
Stockton,Sacramento,,50 mins,79.1 km
Stockton,Fresno,,2 hours 2 mins,202 km
Stockton,San Luis Obispo,,3 hours 50 mins,396 km
Stockton,Oakland,,1 hour 12 mins,115 km
Stockton,Santa Barbara,,5 hours 23 mins,547 km
Stockton,Santa Rosa,,2 hours 3 mins,178 km
Stockton,Bakersfield,,3 hours 38 mins,375 km
Stockton,Santa Ana,,5 hours 46 mins,594 km
Stockton,Santa Maria,,4 hours 20 mins,446 km
Stockton,San Jose,,1 hour 21 mins,130 km
Stockton,Burbank,,4 hours 56 mins,528 km
Stockton,Arcata,,5 hours 49 mins,538 km
Stockton,Butte,,2 hours 15 mins,212 km
Stockton,Palm Springs,,6 hours 41 mins,713 km
Stockton,Los Angeles,,5 hours 11 mins,544 km
Stockton,Long Beach,,5 hours 30 mins,580 km
Stockton,San Francisco,,1 hour 25 mins,134 km
Stockton,Monterey,,2 hours 23 mins,237 km
Santa Rosa,Newark,,1 day 18 hours,"4,678 km"
Santa Rosa,San Diego,,8 hours 27 mins,882 km
Santa Rosa,Redding,,3 hours 32 mins,313 km
Santa Rosa,Sacramento,,1 hour 42 mins,157 km
Santa Rosa,Fresno,,3 hours 42 mins,374 km
Santa Rosa,San Luis Obispo,,4 hours 24 mins,454 km
Santa Rosa,Oakland,,1 hour 1 min,94.2 km
Santa Rosa,Santa Barbara,,5 hours 57 mins,605 km
Santa Rosa,Stockton,,2 hours 2 mins,175 km
Santa Rosa,Bakersfield,,5 hours 4 mins,530 km
Santa Rosa,Santa Ana,,7 hours 11 mins,740 km
Santa Rosa,Santa Maria,,4 hours 54 mins,505 km
Santa Rosa,San Jose,,1 hour 45 mins,159 km
Santa Rosa,Burbank,,6 hours 21 mins,673 km
Santa Rosa,Arcata,,3 hours 50 mins,361 km
Santa Rosa,Butte,,3 hours 5 mins,285 km
Santa Rosa,Palm Springs,,8 hours 6 mins,859 km
Santa Rosa,Los Angeles,,6 hours 36 mins,690 km
Santa Rosa,Long Beach,,6 hours 54 mins,726 km
Santa Rosa,San Francisco,,1 hour 7 mins,88.0 km
Santa Rosa,Monterey,,2 hours 48 mins,273 km
Bakersfield,Newark,,1 day 17 hours,"4,500 km"
Bakersfield,San Diego,,3 hours 46 mins,373 km
Bakersfield,Redding,,6 hours 40 mins,711 km
Bakersfield,Sacramento,,4 hours 19 mins,446 km
Bakersfield,Fresno,,1 hour 43 mins,176 km
Bakersfield,San Luis Obispo,,2 hours 15 mins,219 km
Bakersfield,Oakland,,4 hours 10 mins,437 km
Bakersfield,Santa Barbara,,2 hours 28 mins,237 km
Bakersfield,Stockton,,3 hours 34 mins,375 km
Bakersfield,Santa Rosa,,5 hours 2 mins,530 km
Bakersfield,Santa Ana,,2 hours 30 mins,232 km
Bakersfield,Santa Maria,,2 hours 12 mins,195 km
Bakersfield,San Jose,,3 hours 49 mins,388 km
Bakersfield,Burbank,,1 hour 40 mins,165 km
Bakersfield,Arcata,,8 hours 48 mins,890 km
Bakersfield,Butte,,5 hours 44 mins,585 km
Bakersfield,Palm Springs,,3 hours 25 mins,350 km
Bakersfield,Los Angeles,,1 hour 55 mins,181 km
Bakersfield,Long Beach,,2 hours 13 mins,217 km
Bakersfield,San Francisco,,4 hours 23 mins,456 km
Bakersfield,Monterey,,3 hours 38 mins,354 km
Santa Ana,Newark,,1 day 16 hours,"4,471 km"
Santa Ana,San Diego,,1 hour 25 mins,143 km
Santa Ana,Redding,,8 hours 53 mins,928 km
Santa Ana,Sacramento,,6 hours 33 mins,670 km
Santa Ana,Fresno,,4 hours 5 mins,403 km
Santa Ana,San Luis Obispo,,3 hours 49 mins,355 km
Santa Ana,Oakland,,6 hours 21 mins,647 km
Santa Ana,Santa Barbara,,2 hours 18 mins,204 km
Santa Ana,Stockton,,5 hours 50 mins,594 km
Santa Ana,Santa Rosa,,7 hours 13 mins,740 km
Santa Ana,Bakersfield,,2 hours 31 mins,231 km
Santa Ana,Santa Maria,,3 hours 25 mins,306 km
Santa Ana,San Jose,,5 hours 59 mins,598 km
Santa Ana,Burbank,,54 mins,67.8 km
Santa Ana,Arcata,,10 hours 58 mins,"1,100 km"
Santa Ana,Butte,,7 hours 58 mins,802 km
Santa Ana,Palm Springs,,1 hour 38 mins,156 km
Santa Ana,Los Angeles,,43 mins,52.2 km
Santa Ana,Long Beach,,34 mins,45.3 km
Santa Ana,San Francisco,,6 hours 34 mins,666 km
Santa Ana,Monterey,,5 hours 49 mins,564 km
Santa Maria,Newark,,1 day 19 hours,"4,676 km"
Santa Maria,San Diego,,4 hours 33 mins,453 km
Santa Maria,Redding,,6 hours 52 mins,742 km
Santa Maria,Sacramento,,5 hours 2 mins,518 km
Santa Maria,Fresno,,2 hours 50 mins,274 km
Santa Maria,San Luis Obispo,,34 mins,52.8 km
Santa Maria,Oakland,,3 hours 56 mins,412 km
Santa Maria,Santa Barbara,,1 hour 11 mins,102 km
Santa Maria,Stockton,,4 hours 20 mins,442 km
Santa Maria,Santa Rosa,,4 hours 50 mins,506 km
Santa Maria,Bakersfield,,2 hours 14 mins,198 km
Santa Maria,Santa Ana,,3 hours 23 mins,309 km
Santa Maria,San Jose,,3 hours 20 mins,349 km
Santa Maria,Burbank,,2 hours 40 mins,261 km
Santa Maria,Arcata,,8 hours 35 mins,866 km
Santa Maria,Butte,,6 hours 25 mins,662 km
Santa Maria,Palm Springs,,4 hours 19 mins,428 km
Santa Maria,Los Angeles,,2 hours 47 mins,254 km
Santa Maria,Long Beach,,3 hours 3 mins,287 km
Santa Maria,San Francisco,,4 hours 4 mins,425 km
Santa Maria,Monterey,,2 hours 49 mins,280 km
San Jose,Newark,,1 day 19 hours,"4,714 km"
San Jose,San Diego,,7 hours 12 mins,739 km
San Jose,Redding,,3 hours 46 mins,401 km
San Jose,Sacramento,,1 hour 56 mins,193 km
San Jose,Fresno,,2 hours 34 mins,240 km
San Jose,San Luis Obispo,,2 hours 50 mins,297 km
San Jose,Oakland,,49 mins,65.2 km
San Jose,Santa Barbara,,4 hours 24 mins,448 km
San Jose,Stockton,,1 hour 21 mins,129 km
San Jose,Santa Rosa,,1 hour 43 mins,159 km
San Jose,Bakersfield,,3 hours 49 mins,387 km
San Jose,Santa Ana,,5 hours 56 mins,597 km
San Jose,Santa Maria,,3 hours 21 mins,347 km
San Jose,Burbank,,5 hours 6 mins,531 km
San Jose,Arcata,,5 hours 28 mins,520 km
San Jose,Butte,,3 hours 19 mins,321 km
San Jose,Palm Springs,,6 hours 51 mins,716 km
San Jose,Los Angeles,,5 hours 21 mins,547 km
San Jose,Long Beach,,5 hours 40 mins,583 km
San Jose,San Francisco,,56 mins,78.0 km
San Jose,Monterey,,1 hour 15 mins,115 km
Burbank,Newark,,1 day 16 hours,"4,478 km"
Burbank,San Diego,,2 hours 11 mins,210 km
Burbank,Redding,,8 hours 2 mins,861 km
Burbank,Sacramento,,5 hours 42 mins,602 km
Burbank,Fresno,,3 hours 14 mins,336 km
Burbank,San Luis Obispo,,3 hours 4 mins,294 km
Burbank,Oakland,,5 hours 30 mins,580 km
Burbank,Santa Barbara,,1 hour 33 mins,143 km
Burbank,Stockton,,4 hours 59 mins,527 km
Burbank,Santa Rosa,,6 hours 22 mins,673 km
Burbank,Bakersfield,,1 hour 40 mins,163 km
Burbank,Santa Ana,,55 mins,68.3 km
Burbank,Santa Maria,,2 hours 40 mins,245 km
Burbank,San Jose,,5 hours 8 mins,531 km
Burbank,Arcata,,10 hours 7 mins,"1,033 km"
Burbank,Butte,,7 hours 7 mins,735 km
Burbank,Palm Springs,,1 hour 50 mins,188 km
Burbank,Los Angeles,,20 mins,18.0 km
Burbank,Long Beach,,43 mins,55.1 km
Burbank,San Francisco,,5 hours 43 mins,599 km
Burbank,Monterey,,4 hours 57 mins,497 km
Arcata,Newark,,1 day 21 hours,"4,849 km"
Arcata,San Diego,,12 hours 12 mins,"1,243 km"
Arcata,Redding,,2 hours 46 mins,223 km
Arcata,Sacramento,,5 hours 14 mins,483 km
Arcata,Fresno,,7 hours 28 mins,736 km
Arcata,San Luis Obispo,,8 hours 10 mins,816 km
Arcata,Oakland,,4 hours 47 mins,456 km
Arcata,Santa Barbara,,9 hours 43 mins,967 km
Arcata,Stockton,,5 hours 47 mins,536 km
Arcata,Santa Rosa,,3 hours 51 mins,362 km
Arcata,Bakersfield,,8 hours 50 mins,892 km
Arcata,Santa Ana,,10 hours 57 mins,"1,102 km"
Arcata,Santa Maria,,8 hours 40 mins,866 km
Arcata,San Jose,,5 hours 31 mins,521 km
Arcata,Burbank,,10 hours 7 mins,"1,035 km"
Arcata,Butte,,4 hours 30 mins,380 km
Arcata,Palm Springs,,11 hours 51 mins,"1,221 km"
Arcata,Los Angeles,,10 hours 21 mins,"1,051 km"
Arcata,Long Beach,,10 hours 40 mins,"1,087 km"
Arcata,San Francisco,,4 hours 53 mins,450 km
Arcata,Monterey,,6 hours 34 mins,635 km
Butte,Newark,,1 day 17 hours,"4,562 km"
Butte,San Diego,,9 hours 12 mins,944 km
Butte,Redding,,1 hour 43 mins,151 km
Butte,Sacramento,,1 hour 34 mins,135 km
Butte,Fresno,,4 hours 10 mins,408 km
Butte,San Luis Obispo,,5 hours 59 mins,604 km
Butte,Oakland,,2 hours 45 mins,259 km
Butte,Santa Barbara,,7 hours 32 mins,755 km
Butte,Stockton,,2 hours 16 mins,211 km
Butte,Santa Rosa,,3 hours 4 mins,285 km
Butte,Bakersfield,,5 hours 46 mins,580 km
Butte,Santa Ana,,7 hours 56 mins,803 km
Butte,Santa Maria,,6 hours 29 mins,655 km
Butte,San Jose,,3 hours 23 mins,322 km
Butte,Burbank,,7 hours 6 mins,736 km
Butte,Arcata,,4 hours 30 mins,376 km
Butte,Palm Springs,,8 hours 51 mins,921 km
Butte,Los Angeles,,7 hours 20 mins,752 km
Butte,Long Beach,,7 hours 39 mins,788 km
Butte,San Francisco,,2 hours 54 mins,269 km
Butte,Monterey,,4 hours 24 mins,429 km
Palm Springs,Newark,,1 day 16 hours,"4,286 km"
Palm Springs,San Diego,,2 hours 11 mins,224 km
Palm Springs,Redding,,9 hours 49 mins,"1,047 km"
Palm Springs,Sacramento,,7 hours 28 mins,788 km
Palm Springs,Fresno,,5 hours 1 min,522 km
Palm Springs,San Luis Obispo,,4 hours 44 mins,478 km
Palm Springs,Oakland,,7 hours 16 mins,766 km
Palm Springs,Santa Barbara,,3 hours 14 mins,326 km
Palm Springs,Stockton,,6 hours 46 mins,713 km
Palm Springs,Santa Rosa,,8 hours 8 mins,859 km
Palm Springs,Bakersfield,,3 hours 27 mins,349 km
Palm Springs,Santa Ana,,1 hour 39 mins,157 km
Palm Springs,Santa Maria,,4 hours 21 mins,429 km
Palm Springs,San Jose,,6 hours 55 mins,717 km
Palm Springs,Burbank,,1 hour 55 mins,193 km
Palm Springs,Arcata,,11 hours 54 mins,"1,219 km"
Palm Springs,Butte,,8 hours 54 mins,921 km
Palm Springs,Los Angeles,,1 hour 46 mins,172 km
Palm Springs,Long Beach,,1 hour 57 mins,190 km
Palm Springs,San Francisco,,7 hours 29 mins,785 km
Palm Springs,Monterey,,6 hours 44 mins,683 km
Los Angeles,Newark,,1 day 16 hours,"4,474 km"
Los Angeles,San Diego,,1 hour 57 mins,193 km
Los Angeles,Redding,,8 hours 15 mins,877 km
Los Angeles,Sacramento,,5 hours 54 mins,618 km
Los Angeles,Fresno,,3 hours 27 mins,352 km
Los Angeles,San Luis Obispo,,3 hours 8 mins,304 km
Los Angeles,Oakland,,5 hours 43 mins,596 km
Los Angeles,Santa Barbara,,1 hour 38 mins,153 km
Los Angeles,Stockton,,5 hours 12 mins,542 km
Los Angeles,Santa Rosa,,6 hours 35 mins,688 km
Los Angeles,Bakersfield,,1 hour 53 mins,179 km
Los Angeles,Santa Ana,,41 mins,51.8 km
Los Angeles,Santa Maria,,2 hours 44 mins,255 km
Los Angeles,San Jose,,5 hours 21 mins,546 km
Los Angeles,Burbank,,18 mins,17.7 km
Los Angeles,Arcata,,10 hours 20 mins,"1,049 km"
Los Angeles,Butte,,7 hours 20 mins,751 km
Los Angeles,Palm Springs,,1 hour 43 mins,171 km
Los Angeles,Long Beach,,28 mins,38.5 km
Los Angeles,San Francisco,,5 hours 56 mins,614 km
Los Angeles,Monterey,,5 hours 10 mins,512 km
Long Beach,Newark,,1 day 17 hours,"4,501 km"
Long Beach,San Diego,,1 hour 45 mins,181 km
Long Beach,Redding,,8 hours 38 mins,914 km
Long Beach,Sacramento,,6 hours 17 mins,656 km
Long Beach,Fresno,,3 hours 50 mins,390 km
Long Beach,San Luis Obispo,,3 hours 28 mins,336 km
Long Beach,Oakland,,6 hours 5 mins,634 km
Long Beach,Santa Barbara,,1 hour 57 mins,185 km
Long Beach,Stockton,,5 hours 35 mins,580 km
Long Beach,Santa Rosa,,6 hours 58 mins,726 km
Long Beach,Bakersfield,,2 hours 16 mins,217 km
Long Beach,Santa Ana,,34 mins,44.4 km
Long Beach,Santa Maria,,3 hours 4 mins,288 km
Long Beach,San Jose,,5 hours 44 mins,584 km
Long Beach,Burbank,,43 mins,54.5 km
Long Beach,Arcata,,10 hours 43 mins,"1,086 km"
Long Beach,Butte,,7 hours 43 mins,789 km
Long Beach,Palm Springs,,1 hour 55 mins,190 km
Long Beach,Los Angeles,,32 mins,38.8 km
Long Beach,San Francisco,,6 hours 18 mins,652 km
Long Beach,Monterey,,5 hours 33 mins,550 km
San Francisco,Newark,,1 day 18 hours,"4,662 km"
San Francisco,San Diego,,7 hours 44 mins,807 km
San Francisco,Redding,,3 hours 18 mins,350 km
San Francisco,Sacramento,,1 hour 28 mins,141 km
San Francisco,Fresno,,3 hours 0 mins,300 km
San Francisco,San Luis Obispo,,3 hours 34 mins,372 km
San Francisco,Oakland,,18 mins,19.8 km
San Francisco,Santa Barbara,,5 hours 7 mins,523 km
San Francisco,Stockton,,1 hour 24 mins,134 km
San Francisco,Santa Rosa,,1 hour 7 mins,88.3 km
San Francisco,Bakersfield,,4 hours 21 mins,456 km
San Francisco,Santa Ana,,6 hours 29 mins,666 km
San Francisco,Santa Maria,,4 hours 4 mins,423 km
San Francisco,San Jose,,54 mins,77.9 km
San Francisco,Burbank,,5 hours 39 mins,599 km
San Francisco,Arcata,,4 hours 52 mins,448 km
San Francisco,Butte,,2 hours 51 mins,270 km
San Francisco,Palm Springs,,7 hours 23 mins,785 km
San Francisco,Los Angeles,,5 hours 53 mins,615 km
San Francisco,Long Beach,,6 hours 12 mins,651 km
San Francisco,Monterey,,1 hour 58 mins,191 km
Monterey,Newark,,1 day 20 hours,"4,820 km"
Monterey,San Diego,,7 hours 2 mins,705 km
Monterey,Redding,,4 hours 47 mins,508 km
Monterey,Sacramento,,2 hours 57 mins,300 km
Monterey,Fresno,,2 hours 41 mins,247 km
Monterey,San Luis Obispo,,2 hours 20 mins,227 km
Monterey,Oakland,,1 hour 51 mins,178 km
Monterey,Santa Barbara,,3 hours 53 mins,378 km
Monterey,Stockton,,2 hours 22 mins,236 km
Monterey,Santa Rosa,,2 hours 46 mins,272 km
Monterey,Bakersfield,,3 hours 39 mins,354 km
Monterey,Santa Ana,,5 hours 46 mins,564 km
Monterey,Santa Maria,,2 hours 50 mins,278 km
Monterey,San Jose,,1 hour 16 mins,115 km
Monterey,Burbank,,4 hours 56 mins,497 km
Monterey,Arcata,,6 hours 31 mins,633 km
Monterey,Butte,,4 hours 20 mins,428 km
Monterey,Palm Springs,,6 hours 41 mins,683 km
Monterey,Los Angeles,,5 hours 11 mins,513 km
Monterey,Long Beach,,5 hours 29 mins,549 km
Monterey,San Francisco,,2 hours 0 mins,191 km
Boston,Washington,,7 hours 12 mins,709 km
Washington,Boston,,7 hours 12 mins,704 km
Gunnison,Abilene,,11 hours 23 mins,"1,163 km"
Gunnison,Amarillo,,7 hours 15 mins,716 km
Gunnison,Harlingen,,18 hours 18 mins,"1,927 km"
Gunnison,Lubbock,,8 hours 58 mins,899 km
Gunnison,College Station,,14 hours 54 mins,"1,539 km"
Gunnison,Corpus Christi,,16 hours 40 mins,"1,752 km"
Gunnison,Wichita Falls,,10 hours 40 mins,"1,076 km"
Gunnison,Waco,,13 hours 36 mins,"1,404 km"
Gunnison,San Angelo,,11 hours 46 mins,"1,194 km"
Gunnison,Houston,,16 hours 2 mins,"1,679 km"
Gunnison,San Antonio,,14 hours 42 mins,"1,520 km"
Gunnison,Del Rio,,14 hours 13 mins,"1,380 km"
Gunnison,Mission,,,
Gunnison,Beaumont,,,
Gunnison,Longview,,14 hours 33 mins,"1,503 km"
Gunnison,Midland,,10 hours 42 mins,"1,056 km"
Gunnison,El Paso,,9 hours 13 mins,943 km
Gunnison,Brownsville,,18 hours 39 mins,"1,967 km"
Gunnison,Austin,,14 hours 49 mins,"1,501 km"
Gunnison,Dallas,,12 hours 42 mins,"1,303 km"
Gunnison,Killeen,,14 hours 10 mins,"1,436 km"
Gunnison,Laredo,,16 hours 49 mins,"1,709 km"
Gunnison,Texarkana,,15 hours 0 mins,"1,512 km"
Abilene,Gunnison,,11 hours 26 mins,"1,148 km"
Amarillo,Gunnison,,7 hours 18 mins,716 km
Harlingen,Gunnison,,18 hours 16 mins,"1,912 km"
Lubbock,Gunnison,,9 hours 3 mins,899 km
College Station,Gunnison,,14 hours 56 mins,"1,537 km"
Corpus Christi,Gunnison,,16 hours 40 mins,"1,736 km"
Wichita Falls,Gunnison,,10 hours 43 mins,"1,074 km"
Waco,Gunnison,,13 hours 39 mins,"1,399 km"
San Angelo,Gunnison,,11 hours 50 mins,"1,212 km"
Houston,Gunnison,,16 hours 5 mins,"1,677 km"
San Antonio,Gunnison,,14 hours 43 mins,"1,504 km"
Del Rio,Gunnison,,14 hours 15 mins,"1,370 km"
Mission,Gunnison,,,
Beaumont,Gunnison,,,
Longview,Gunnison,,14 hours 35 mins,"1,507 km"
Midland,Gunnison,,10 hours 44 mins,"1,055 km"
El Paso,Gunnison,,9 hours 16 mins,945 km
Brownsville,Gunnison,,18 hours 40 mins,"1,952 km"
Austin,Gunnison,,14 hours 52 mins,"1,485 km"
Dallas,Gunnison,,12 hours 45 mins,"1,300 km"
Killeen,Gunnison,,14 hours 14 mins,"1,421 km"
Laredo,Gunnison,,16 hours 53 mins,"1,694 km"
Texarkana,Gunnison,,15 hours 12 mins,"1,523 km"
Punta Gorda,Nashville,,11 hours 29 mins,"1,289 km"
Punta Gorda,Bristol,,,
Punta Gorda,Knoxville,,10 hours 50 mins,"1,231 km"
Punta Gorda,Chattanooga,,9 hours 29 mins,"1,077 km"
Punta Gorda,Memphis,,13 hours 21 mins,"1,517 km"
Nashville,Punta Gorda,,11 hours 30 mins,"1,287 km"
Nashville,Bristol,,,
Nashville,Knoxville,,2 hours 42 mins,290 km
Nashville,Chattanooga,,2 hours 4 mins,214 km
Nashville,Memphis,,3 hours 10 mins,341 km
Bristol,Punta Gorda,,,
Bristol,Nashville,,,
Bristol,Knoxville,,,
Bristol,Chattanooga,,,
Bristol,Memphis,,,
Knoxville,Punta Gorda,,10 hours 53 mins,"1,231 km"
Knoxville,Nashville,,2 hours 42 mins,290 km
Knoxville,Bristol,,,
Knoxville,Chattanooga,,1 hour 41 mins,180 km
Knoxville,Memphis,,5 hours 44 mins,629 km
Chattanooga,Punta Gorda,,9 hours 32 mins,"1,078 km"
Chattanooga,Nashville,,2 hours 6 mins,216 km
Chattanooga,Bristol,,,
Chattanooga,Knoxville,,1 hour 42 mins,181 km
Chattanooga,Memphis,,5 hours 0 mins,547 km
Memphis,Punta Gorda,,13 hours 23 mins,"1,504 km"
Memphis,Nashville,,3 hours 11 mins,341 km
Memphis,Bristol,,,
Memphis,Knoxville,,5 hours 45 mins,629 km
Memphis,Chattanooga,,4 hours 58 mins,542 km
Houston,Tucson,,15 hours 14 mins,"1,715 km"
Tucson,Houston,,15 hours 16 mins,"1,717 km"
Palm Springs,Abilene,,16 hours 41 mins,"1,850 km"
Palm Springs,Amarillo,,14 hours 28 mins,"1,562 km"
Palm Springs,Harlingen,,21 hours 34 mins,"2,416 km"
Palm Springs,Lubbock,,15 hours 22 mins,"1,615 km"
Palm Springs,College Station,,20 hours 19 mins,"2,209 km"
Palm Springs,Corpus Christi,,19 hours 56 mins,"2,241 km"
Palm Springs,Wichita Falls,,17 hours 45 mins,"1,916 km"
Palm Springs,Waco,,19 hours 20 mins,"2,111 km"
Palm Springs,San Angelo,,16 hours 5 mins,"1,772 km"
Palm Springs,Houston,,20 hours 47 mins,"2,323 km"
Palm Springs,San Antonio,,17 hours 58 mins,"2,008 km"
Palm Springs,Del Rio,,16 hours 33 mins,"1,805 km"
Palm Springs,Mission,,,
Palm Springs,Beaumont,,,
Palm Springs,Longview,,21 hours 2 mins,"2,349 km"
Palm Springs,Midland,,14 hours 36 mins,"1,613 km"
Palm Springs,El Paso,,10 hours 13 mins,"1,122 km"
Palm Springs,Brownsville,,21 hours 56 mins,"2,456 km"
Palm Springs,Austin,,18 hours 48 mins,"2,048 km"
Palm Springs,Dallas,,19 hours 15 mins,"2,144 km"
Palm Springs,Killeen,,18 hours 37 mins,"2,042 km"
Palm Springs,Laredo,,19 hours 28 mins,"2,094 km"
Palm Springs,Texarkana,,21 hours 51 mins,"2,429 km"
Abilene,Palm Springs,,16 hours 41 mins,"1,851 km"
Amarillo,Palm Springs,,14 hours 30 mins,"1,562 km"
Harlingen,Palm Springs,,21 hours 29 mins,"2,418 km"
Lubbock,Palm Springs,,15 hours 24 mins,"1,616 km"
College Station,Palm Springs,,20 hours 18 mins,"2,217 km"
Corpus Christi,Palm Springs,,19 hours 53 mins,"2,242 km"
Wichita Falls,Palm Springs,,17 hours 48 mins,"1,917 km"
Waco,Palm Springs,,19 hours 20 mins,"2,112 km"
San Angelo,Palm Springs,,16 hours 3 mins,"1,772 km"
Houston,Palm Springs,,20 hours 45 mins,"2,324 km"
San Antonio,Palm Springs,,17 hours 57 mins,"2,010 km"
Del Rio,Palm Springs,,16 hours 32 mins,"1,806 km"
Mission,Palm Springs,,,
Beaumont,Palm Springs,,,
Longview,Palm Springs,,21 hours 3 mins,"2,349 km"
