,NAME,room type,price,minimum nights,review rate number,house_rules,maximum occupancy,city
1474,Spacious bedroom in Williamsburg,Private room,315.0,1.0,4.0,No pets & No parties,1,St. Cloud
1475,Aery Room near all,Private room,160.0,30.0,5.0,No children under 10,1,Montrose
1476,Gorgeous studio in midtown Manhattan,Entire home/apt,212.0,30.0,3.0,No parties & No children under 10,3,Richmond
1477,"Room in Queens, NY, near LGA.",Private room,982.0,1.0,2.0,No children under 10,2,Los Angeles
1478,Feel at Home,Entire home/apt,79.0,3.0,5.0,No parties,3,Florence
1479,Large cozy bedroom close to Times Square 43D4,Private room,403.0,7.0,4.0,No visitors & No children under 10,2,Richmond
1480,"One Bedroom Apartment in Brownstone in Harlem, NYC",Entire home/apt,1068.0,3.0,1.0,No parties,3,Pellston
1481,"Brooklyn Heights Contemporary Gem, 3 Bed, 2 Bath",Entire home/apt,550.0,3.0,3.0,No pets & No visitors,3,Worcester
1482,Light and Airy top floor apartment,Entire home/apt,759.0,8.0,5.0,No visitors & No parties,3,North Platte
1483,"Comfort, light and calm just 3 minutes from mid-town",Entire home/apt,1005.0,2.0,4.0,No visitors,4,Devils Lake
1484,AMAZING TIME SQUARE!!BRICK WALLS!!,Entire home/apt,910.0,30.0,1.0,No children under 10 & No pets,3,Newark
1485,AMAZING AAA Specious  Studio South Expo  Skylight!,Entire home/apt,71.0,30.0,5.0,No smoking & No visitors,3,South Bend
1486,Industrial Loft Living in NYC,Entire home/apt,178.0,4.0,3.0,No smoking,3,Philadelphia
1487,"Spacious Room in Woodside, Queens",Private room,1044.0,10.0,2.0,No smoking,1,Tulsa
1488,Sonder | Upper East Side | Lovely 1BR + Gym,Entire home/apt,130.0,29.0,2.0,No children under 10,2,Hilton Head
1489,"West 55th street, Lux 1bd Serviced Apartment",Entire home/apt,526.0,30.0,5.0,No parties & No children under 10 & No pets,2,Long Beach
1490,14th Street Oasis,Private room,1128.0,3.0,5.0,No smoking,1,Newport News
1491,The blue house,Entire home/apt,659.0,2.0,3.0,No children under 10 & No smoking & No pets,5,Presque Isle
1492,Bright Renewed Apartment 1 minute from A express train,Private room,557.0,2.0,3.0,No smoking,1,Walla Walla
1493,Modern studio in Harlem,Entire home/apt,638.0,5.0,4.0,No smoking,3,Ogdensburg
1494,Upper East Side Space and Access!!,Private room,151.0,1.0,4.0,No children under 10 & No pets,2,Oklahoma City
1495,Studio Apt -Upper East Side,Entire home/apt,559.0,2.0,2.0,No smoking,4,Duluth
1496,"1 private bdrm in Times Sq NYC, luxury building",Private room,995.0,2.0,1.0,No visitors & No children under 10 & No pets,2,Boston
1497,1 bedroom apartment in Nolita,Entire home/apt,107.0,1.0,5.0,,3,Hagerstown
1498,Take it now you won't find better,Entire home/apt,609.0,1.0,2.0,No pets,4,Dallas
1499,Comfy single private room at quiet area in Queens,Private room,265.0,2.0,3.0,No pets & No children under 10 & No parties,1,Provo
1500,Walk in Basement Room with Window,Private room,1072.0,1.0,5.0,No pets & No parties,2,Lansing
1501,"Charming , sweet , and cozy Manhattan apartment.",Entire home/apt,153.0,4.0,1.0,No parties,2,Concord
1502,Brooklyn Apartment with Great Natural Lighting,Private room,259.0,3.0,2.0,,2,Lexington
1503,"Comfy Brooklyn apt, near train and Manhattan",Entire home/apt,346.0,4.0,3.0,No visitors,3,Oakland
1504,No sleep till....Brooklyn!,Private room,714.0,1.0,5.0,,2,Charlotte
1505,Brooklyn Heights retreat,Entire home/apt,145.0,4.0,3.0,No children under 10,3,Fort Smith
1506,Beautiful  Cozy  room in NYC  nearby Time square,Private room,688.0,3.0,5.0,No parties & No pets & No children under 10,1,Escanaba
1507,Brooklyn Charm in Clinton Hill,Private room,437.0,4.0,2.0,No smoking,1,Sioux City
1508,Mott Haven Dorm FF,Shared room,633.0,1.0,4.0,No visitors & No smoking,1,Stillwater
1509,Casually chic 2+bedroom townhouse,Entire home/apt,1048.0,5.0,3.0,No pets,8,Hobbs
1510,"1 bedroom, large williamsburg loft",Private room,930.0,7.0,2.0,No visitors & No children under 10 & No parties,1,Waco
1511,Hell's Kitchen Hideaway,Entire home/apt,687.0,2.0,2.0,No children under 10,4,Presque Isle
1512,Best of both world  city and safety easy to get,Private room,1014.0,2.0,2.0,No pets & No smoking,1,Chicago
1513,Private room in a hip neighborhood,Private room,236.0,1.0,4.0,No smoking & No visitors & No pets,2,Fort Smith
1514,Serene bedroom in the heart of Fort Green,Private room,1114.0,2.0,4.0,No pets & No smoking & No children under 10,2,Washington
1515,"Large, sunny, private studio Apt 2R",Entire home/apt,925.0,2.0,5.0,No children under 10,5,Memphis
1516,Sparkling Clean BR in Unbeatable Location 웃,Private room,1045.0,1.0,5.0,No visitors & No children under 10,1,Tulsa
1517,2 bd 2 bathroom Apartment in Upper East Side,Entire home/apt,285.0,4.0,5.0,No smoking,3,Richmond
1518,PRIME Williamsburg MODERN studio in doorman bldg!!,Entire home/apt,899.0,4.0,1.0,No pets,2,St. Cloud
1519,Lrg 2 BR Duplex Top 2 Flrs Terrace West Village,Entire home/apt,733.0,3.0,3.0,No children under 10,3,Syracuse
1520,"Clean Private Room, 10 min from 2 subway lines.",Private room,306.0,1.0,3.0,No visitors & No parties,1,Grand Forks
1521,Studio Apartment in Murray Hill,Private room,826.0,3.0,3.0,No children under 10 & No pets,2,Santa Ana
1522,Cozy colorful kitchenette...,Entire home/apt,824.0,15.0,4.0,No pets,8,Casper
1523,Bright & Sunny 2-Bedroom in Hamilton Heights,Entire home/apt,995.0,4.0,5.0,No visitors & No children under 10,4,Pasco
1524,The Center Suites,Entire home/apt,1190.0,2.0,1.0,No pets & No parties & No visitors,10,Norfolk
1525,Manhattan Midtown West 3B Apartment,Entire home/apt,1178.0,5.0,2.0,No children under 10,9,Colorado Springs
1526,✪ Friends & Family Downtown ✪ 2BR / 3 Bed ✪ Best !,Entire home/apt,80.0,4.0,1.0,No visitors,3,Lafayette
1527,Cozy Retreat on Atlantic Ave,Entire home/apt,161.0,2.0,3.0,No pets & No visitors,3,Stillwater
1528,"Bright Zen Bedroom with TV, nr JMZ Subways",Private room,726.0,4.0,5.0,No pets,1,Baltimore
1529,LINCOLN CENTER / LUXURY 2BED 2BATH,Entire home/apt,683.0,30.0,4.0,,2,Barrow
1530,Spacious basement apartment,Private room,932.0,2.0,4.0,No parties,2,Omaha
1531,Cozy & Spacious Studio in Brooklyn,Entire home/apt,989.0,7.0,4.0,No children under 10,7,Saipan
1532,"Sunny, Quiet Urban Oasis w/ Elevator! Near Subway!",Entire home/apt,1080.0,2.0,1.0,No children under 10 & No smoking,4,Rapid City
1533,Private Oasis (A),Private room,157.0,2.0,3.0,No parties,2,Savannah
1534,"Cozy, bright Bohemian pad in NYC's Epic Village",Entire home/apt,478.0,5.0,5.0,No parties,4,Longview
1535,Clean 1br w/Parking Incl.  also 10min near JFK/LGA,Private room,483.0,1.0,2.0,No visitors & No parties,1,Fort Lauderdale
1536,Sublet - Queen size bedroom in Bushwick,Private room,1010.0,5.0,3.0,No visitors,1,Decatur
1537,Brooklyn Style!,Entire home/apt,232.0,31.0,1.0,No visitors,2,Victoria
1538,Peaceful apartment near Prospect Park,Entire home/apt,1016.0,5.0,3.0,No parties & No pets,3,Charlotte Amalie
1539,Private room near LGA Airport with queen bed,Private room,890.0,1.0,5.0,No children under 10,2,Mosinee
1540,"Sunny, spacious Clinton Hill 1.5 BR",Entire home/apt,984.0,3.0,4.0,,2,Dayton
1541,Beautiful 2 bedroom private suite,Entire home/apt,289.0,28.0,1.0,No children under 10,3,Baltimore
1542,Lower east side artistic oasis,Private room,598.0,5.0,5.0,No pets & No children under 10,2,Louisville
1543,Wonderful private room in Williamsburg,Private room,337.0,1.0,4.0,,1,Madison
1544,Sunny room+Pvte office in huge loft,Private room,728.0,4.0,5.0,No parties,2,Chattanooga
1545,Beautiful Duplex North of Chelsea (Penn Station),Entire home/apt,1194.0,5.0,4.0,No parties & No children under 10,2,Provo
1546,Beautiful 2 Bedr in Landmarked Brooklyn Brownstone,Entire home/apt,701.0,3.0,5.0,No pets & No visitors,7,Clarksburg
1547,Stunning 2 bd home in historic limestone,Entire home/apt,453.0,7.0,,No parties,2,Salina
1548,Large Serene Garden Apartment Historic Harlem,Entire home/apt,251.0,2.0,5.0,No parties,3,Fairbanks
1549,Private clean room in Manhattan,Private room,800.0,3.0,2.0,No smoking & No pets,1,Salisbury
1550,Cosy room in Brooklyn! 2min to Sbwy,Private room,165.0,1.0,1.0,No visitors & No parties & No children under 10,2,Aspen
1551,SoHo- 1BD Apt- Incredible Location! With Rooftop,Entire home/apt,416.0,3.0,2.0,No parties,3,Brainerd
1552,1Bdrm DELUXE Fully Renovated CONDO Wyndham Midtown,Private room,1133.0,3.0,1.0,,1,Philadelphia
1553,Sunny Stuyvesant Private Bedroom Madison 1R-4,Private room,639.0,30.0,3.0,No parties & No children under 10,2,Wenatchee
1554,Charming Duplex in Manhattan,Entire home/apt,72.0,3.0,1.0,No visitors & No children under 10,2,Flint
1555,Cozy 1.5BD in Parkslope Brooklyn,Entire home/apt,1093.0,3.0,2.0,No parties,10,San Diego
1556,Bluebird Hells Kitchen 1-BR  Apt Near Central Park,Entire home/apt,865.0,30.0,2.0,No smoking,6,Nome
1557,A great experience in a fashionable neighborhood,Private room,447.0,4.0,3.0,No visitors & No pets,1,Indianapolis
1558,Consider it home,Entire home/apt,892.0,26.0,3.0,No children under 10 & No pets,3,Milwaukee
1559,Lg Quiet Artist Home -Ditmas Park -,Entire home/apt,561.0,24.0,2.0,No visitors & No pets & No smoking,4,Knoxville
1560,Great pad in Brooklyn next to train,Private room,630.0,2.0,5.0,No children under 10 & No visitors,2,Cedar City
1561,Flatbush Fabulous,Entire home/apt,868.0,2.0,2.0,No children under 10,8,Escanaba
1562,2 BR/2BA UWS Luxury Apartment w Private Backyard,Entire home/apt,646.0,30.0,4.0,No pets & No smoking,2,Martha's Vineyard
1563,Welcome Palace!!!,Private room,218.0,2.0,4.0,No pets,1,Binghamton
1564,Delightful & Roomy 1 Bdrm Apt,Entire home/apt,911.0,1.0,1.0,No pets & No smoking & No children under 10,9,Milwaukee
1565,Cozy room in the heart of Astoria,Private room,53.0,2.0,2.0,,1,Redding
1566,Kids friendly 2 bedroom close to Subway and C.Park,Entire home/apt,935.0,2.0,4.0,No parties & No children under 10,2,Columbia
1567,Great apartment in the heart of trendy Bushwick.,Entire home/apt,582.0,2.0,2.0,No children under 10 & No parties,3,Birmingham
1568,THE crashpad for your Brooklyn adventure!,Private room,910.0,2.0,5.0,,1,Lihue
1569,"Spacious, Manhattan Home has a private room!",Private room,1120.0,3.0,3.0,No visitors,2,Oklahoma City
1570,Serenity Falls in lovely Astoria 15min to the city,Private room,778.0,2.0,3.0,No children under 10 & No visitors & No pets,1,Hyannis
1571,"Brooklyn Brownstone, 3-Bdr & Garden",Entire home/apt,400.0,3.0,3.0,No children under 10,2,Detroit
1572,Convenience and Privacy in this shared apartment,Private room,430.0,30.0,4.0,No parties & No pets & No children under 10,1,Lewisburg
1573,"Sunny, Spacious Brooklyn Room 1 Block From Train!",Private room,455.0,3.0,4.0,,2,St. Cloud
1574,New Apt -2 Blocks CENTRAL PARK Near COLUMBIA UNIV,Entire home/apt,906.0,7.0,5.0,No smoking,6,Chicago
1575,East Harlem 1 bed apt- central location!,Entire home/apt,1000.0,3.0,2.0,No pets,6,New Bern
1576,SUPER LUXURY FOR 2 IN FINANCIAL DISTRICT,Entire home/apt,206.0,30.0,5.0,,2,San Antonio
1577,Ash’s Place in Hell’s Kitchen,Entire home/apt,927.0,7.0,3.0,No parties & No pets,2,Brunswick
1578,Beautiful corner prewar apartment in Williamsburg,Entire home/apt,321.0,3.0,1.0,No parties,2,Staunton
1579,"Large, 2fl/2bdrm Williamsburg Apt",Entire home/apt,445.0,3.0,1.0,No visitors,2,Augusta
1580,Doll private room,Private room,444.0,5.0,4.0,No visitors,1,Cape Girardeau
1581,Gatsby Room 1,Private room,833.0,1.0,1.0,No visitors,2,Jackson
1582,Sonder | Stock Exchange | Vintage 1BR + Sofa Bed,Entire home/apt,99.0,2.0,3.0,No smoking,2,Lewiston
1583,5 Star Apt / Location Full of Character,Entire home/apt,119.0,10.0,3.0,No pets & No visitors & No parties,2,Pierre
1584,"1,800 sq foot in luxury building",Private room,839.0,2.0,1.0,No pets,2,Pago Pago
1585,Modern Renovated Luxury 1BR - Soho,Entire home/apt,664.0,1.0,4.0,No smoking & No children under 10 & No parties,3,Christiansted
1586,Stunning Brooklyn loft in a church!,Entire home/apt,1039.0,2.0,5.0,No visitors,7,Fairbanks
1587,Chic Eclectic Midtown Apartment,Private room,884.0,3.0,2.0,No children under 10,1,Grand Island
1588,Lincoln Center Luxury Sunny & Modern Br,Private room,225.0,28.0,5.0,No pets & No smoking,2,Charleston
1589,Beautiful 3 BR apartment steps from Central Park,Entire home/apt,949.0,31.0,5.0,No visitors,5,Ponce
1590,Beautiful Apartment in Center of Williamsburg,Entire home/apt,307.0,4.0,2.0,No visitors & No parties & No pets,3,Watertown
1591,Bright and Spacious Park Slope 1BR,Entire home/apt,208.0,1.0,1.0,No smoking & No pets,2,Jamestown
1592,A Serene ambiance that will sooth your soul,Entire home/apt,732.0,1.0,2.0,No parties & No visitors,4,Jackson
1593,Spotless Private Room near Airport and Subway!,Private room,389.0,2.0,2.0,No parties,1,Monroe
1594,Large Upper West Side 1 bedroom,Entire home/apt,486.0,1.0,5.0,No children under 10 & No smoking & No visitors,4,North Bend
1595,Garden room in a private house,Private room,939.0,45.0,4.0,No children under 10,1,Buffalo
1596,"Brand new space ! ... safe, peaceful and relaxing.",Private room,109.0,1.0,5.0,No parties,2,Presque Isle
1597,"Great Studio Apartment, 15-20mins from Downtown",Entire home/apt,595.0,3.0,3.0,No smoking,4,Salisbury
1598,room in a soho loft,Private room,914.0,3.0,2.0,No parties & No children under 10 & No visitors,2,Cleveland
1599,Madison Flat,Entire home/apt,318.0,4.0,3.0,No children under 10 & No parties & No visitors,3,Montrose
1600,"Large, Bright, Astoria Room",Private room,749.0,10.0,5.0,No parties & No pets,1,Alexandria
1601,Modern renovated private Apt/Washer & dryer.,Entire home/apt,400.0,21.0,4.0,No visitors & No pets,2,Hilo
1602,AMAZING  2BR Apartment Elev/laundry!,Entire home/apt,56.0,30.0,4.0,No parties & No children under 10 & No pets,2,Pensacola
1603,"Harlem ""Hostel"" for Single Travelers",Shared room,1199.0,2.0,4.0,No children under 10 & No pets,1,St. Petersburg
1604,Entire studio fully renovated,Entire home/apt,71.0,5.0,3.0,No parties,2,Cedar Rapids
1605,Sunny East Village Room w/ full kitchen,Private room,164.0,2.0,5.0,No children under 10,1,West Palm Beach
1606,"Modern & Artsy, Awesome Location",Private room,384.0,1.0,2.0,No children under 10 & No pets & No visitors,1,Petersburg
1607,Jazz it Up in Brooklyn,Private room,226.0,2.0,2.0,No parties,2,Great Falls
1608,"2 bedroom with yard, 4 mins to LGA",Entire home/apt,170.0,3.0,3.0,No children under 10 & No smoking,2,Mission
1609,One bed room apartment,Entire home/apt,387.0,2.0,5.0,No pets & No children under 10 & No visitors,2,Joplin
1610,Nolita/Soho Duplex Apartment with Rooftop,Entire home/apt,1081.0,1.0,3.0,No visitors,5,Fort Dodge
1611,Cute 1-bedroom uptown apt,Entire home/apt,584.0,2.0,2.0,No smoking,3,Stillwater
1612,Sunny quiet full floor E Village,Entire home/apt,704.0,2.0,4.0,No smoking & No visitors,4,Devils Lake
1613,1BR - Prime Williamsburg Location - Outdoor Space,Entire home/apt,1096.0,2.0,5.0,No pets,2,Yuma
1614,Cozy PRIVATE Studio Apartment UWS and Jazz Tour.,Entire home/apt,749.0,1.0,4.0,No parties,3,Deadhorse
1615,Private bedroom in great LES spot,Private room,1141.0,1.0,3.0,,2,Richmond
1616,"Bright, renovated apartment close to subway+city",Entire home/apt,1131.0,2.0,3.0,No visitors,10,Myrtle Beach
1617,Luxe Penthouse with Terrace/Upper West Side,Entire home/apt,967.0,3.0,1.0,No smoking,3,Rochester
1618,Swimming Pool/Gym/ Doorman 2 bed 2 bath W&D 5192,Entire home/apt,1184.0,30.0,3.0,No children under 10 & No visitors & No pets,10,Bozeman
1619,"Comfortable, Quiet, close to Airports, Manhattan",Private room,368.0,1.0,3.0,No pets,1,Rock Springs
1620,"Large & Comfortable, Close to Train",Entire home/apt,176.0,2.0,5.0,No smoking,2,Gulfport
1621,Homey & Cozy Near Pratt! (Cat Lovers Only),Private room,1086.0,1.0,3.0,No visitors & No children under 10,2,Concord
1622,sunshine room sublease,Shared room,288.0,1.0,4.0,,1,Harlingen
1623,Versatile private room in Harlem/Hamilton Heights!,Private room,398.0,4.0,5.0,No pets & No visitors & No parties,1,New York
1624,Newly renovated Room for 1,Private room,318.0,4.0,3.0,No parties,2,Brainerd
1625,Sunny 1 Bedroom Apt in Williamsburg,Entire home/apt,1008.0,2.0,1.0,No pets & No smoking,10,North Bend
1626,"Brooklyn Factory Conversion -Bright, Plant Filled",Entire home/apt,283.0,4.0,3.0,No parties & No visitors,2,Ketchikan
1627,New York City-Spacious Private Bedroom,Private room,974.0,2.0,5.0,No children under 10,1,Cedar City
1628,Beautiful Apartment on the Upper West Side,Entire home/apt,472.0,3.0,2.0,No visitors & No pets,4,Aspen
1629,Kings Highway Cozy House,Private room,1143.0,1.0,4.0,No children under 10 & No visitors,1,Punta Gorda
1630,Homey & Vivacious Brooklyn Bedroom,Private room,871.0,8.0,2.0,No smoking,2,Binghamton
1631,Cozy one bedroom in Upper East Side Manhattan UES,Entire home/apt,1138.0,1.0,5.0,No children under 10,9,Columbia
1632,2BR  Apt - 20min to Soho,Entire home/apt,938.0,3.0,2.0,No pets,2,Jacksonville
1633,"Sunny Rm #2, Air Conditioner, Park,Express Q train",Private room,464.0,1.0,3.0,No smoking & No children under 10,2,Elmira
1634,E. W'burg Private Room near subway,Private room,272.0,15.0,2.0,No visitors & No smoking,2,Dallas
1635,Cozy Private Room for Eager Travelers! :D,Private room,420.0,3.0,5.0,No parties,1,Corpus Christi
1636,Perfect location in Manhattan,Private room,1048.0,1.0,2.0,No children under 10 & No parties,1,San Jose
1637,room with awesome view,Private room,386.0,1.0,3.0,No smoking,1,Sault Ste. Marie
1638,Large 1BR in the Heart of Hell's Kitchen!!,Entire home/apt,219.0,4.0,1.0,No visitors,2,Indianapolis
1639,Big Bright room in Bushwick,Private room,427.0,3.0,3.0,No parties,2,Victoria
1640,Sunny and large bedroom in Williamsburg Apartment,Private room,1056.0,1.0,4.0,No children under 10,2,Reno
1641,2 Bedroom Apartment East Village Amazing Location,Entire home/apt,51.0,2.0,3.0,No pets,3,Johnstown
1642,43rd St. Time Square-cozy single bed,Shared room,1192.0,1.0,4.0,,1,Waco
1643,"One stop from Manhattan, Fort Greene.",Entire home/apt,1081.0,7.0,3.0,No pets,5,Cedar City
1644,LIC 1 Bedroom 10 min to Times Sq -1 stop to NYC,Entire home/apt,913.0,2.0,5.0,No pets & No children under 10,7,Santa Rosa
1645,**Amazing Studio Balcony Steps from Time Square**,Entire home/apt,246.0,30.0,5.0,No parties & No visitors & No smoking,3,Iron Mountain
1646,Lg Bedroom Trendy Williamsburg BK,Private room,75.0,1.0,2.0,No parties & No children under 10,1,Fort Smith
1647,Nice 1 BR Apartment at Central Park,Entire home/apt,577.0,4.0,5.0,No smoking,3,Manchester
1648,Brooklyn's 3 bdrm Honeycomb,Entire home/apt,929.0,2.0,3.0,No pets & No parties,7,Monterey
1649,Artsy Spot in Spanish Harlem,Entire home/apt,959.0,2.0,1.0,No pets & No smoking,3,Peoria
1650,Comfortable Suite/Apartment in Manhattan,Entire home/apt,445.0,5.0,2.0,No children under 10 & No pets,3,Bethel
1651,Cozy corner near Empire State Building,Shared room,152.0,1.0,5.0,No pets & No children under 10 & No smoking,1,Scranton
1652,Multicultural House II,Entire home/apt,60.0,3.0,4.0,,3,Laramie
1653,Fantastic Value - Quiet Room Seconds from Graham L,Private room,320.0,28.0,4.0,No visitors,1,Charlottesville
1654,Private Sun-Splashed Studio Chelsea,Entire home/apt,905.0,1.0,4.0,No smoking & No visitors,4,Allentown
1655,Union Square Industrial Loft Apartment - 1 Bedroom,Entire home/apt,1093.0,1.0,2.0,No visitors,9,Honolulu
1656,Cozy Private Bedroom by Central Park in UWS,Private room,548.0,1.0,5.0,No children under 10 & No visitors,1,Lewiston
1657,Sunny room in PRIME Brooklyn!,Private room,139.0,4.0,1.0,No visitors,1,Grand Island
1658,Loft w/ Terrace @ Box House Hotel,Private room,1109.0,,,No smoking & No pets & No visitors,2,Cody
1659,Gowanus-Park Slope- Queen Studio Room,Private room,769.0,1.0,3.0,No parties,2,Bemidji
1660,Room in Down town Brooklyn Parkslop,Private room,79.0,1.0,1.0,No visitors,2,San Francisco
1661,Hidden Gem in Crown Heights,Entire home/apt,1128.0,1.0,5.0,No children under 10,8,Kodiak
1662,Cozy Brooklyn Greenpoint Apt.15 min to Manhattan,Entire home/apt,420.0,1.0,5.0,No children under 10,3,Monterey
1663,Quiet Brooklyn Apartment,Entire home/apt,104.0,7.0,2.0,No children under 10,2,Florence
1664,Two Bedroom Apartment Queens Near  Subway to NYC,Entire home/apt,645.0,2.0,4.0,No parties,2,Valdosta
1665,Convenient Gem in Midtown East,Private room,347.0,12.0,4.0,No pets,1,Sault Ste. Marie
1666,Private Bedroom in Midtown -Heart of NYC,Private room,1143.0,8.0,2.0,No smoking,1,Norfolk
1667,Brooklyn Apartment with Great Natural Lighting,Private room,259.0,3.0,2.0,No pets,2,Kotzebue
1668,Private BR in a 2 BR Central Park West,Private room,793.0,2.0,4.0,No smoking & No pets & No children under 10,1,Mason City
1669,Private Room in Beautiful Brooklyn Private House.,Private room,296.0,60.0,1.0,No visitors & No children under 10 & No pets,2,Idaho Falls
1670,Midtown Manhattan great location (Gramacy park),Entire home/apt,992.0,30.0,3.0,No visitors & No parties,6,Cordova
1671,Stunning 4 Bed Tribeca Penthouse w/ Huge Terrace!,Entire home/apt,1008.0,30.0,3.0,No smoking & No pets & No visitors,8,Idaho Falls
1672,Midtown East furnished studio apartment,Entire home/apt,229.0,2.0,4.0,,3,St. Louis
1673,C Private Room By The Ferry,Private room,593.0,2.0,,No pets,2,Daytona Beach
1674,Quintessential Tribeca Loft,Entire home/apt,879.0,3.0,2.0,,4,Hattiesburg
1675,5 min away from LGA,Entire home/apt,195.0,1.0,5.0,,2,Walla Walla
1676,"Great apt, Next to 1 train.",Private room,228.0,3.0,5.0,No pets & No children under 10 & No smoking,2,West Yellowstone
1677,Large and furnished,Private room,345.0,7.0,4.0,No smoking & No pets,2,Orlando
1678,Modern 2 Bedroom by Memorial Sloan Kettering!,Entire home/apt,864.0,30.0,4.0,,8,Corpus Christi
1679,A CLASSIC NYC NEIGHBORHOOD-EAST 86TH/5TH AVENUE,Entire home/apt,1092.0,30.0,2.0,,2,New Orleans
1680,Private room in Manhattan,Private room,218.0,2.0,2.0,No visitors,2,Washington
1681,Top floor 1 bedroom soho/nolita,Entire home/apt,218.0,3.0,2.0,No parties & No smoking,2,Oakland
1682,Cozy & Clean private bedroom in Columbus Circle.,Private room,312.0,5.0,5.0,,2,Scranton
1683,Spacious 1BD Luxurious room in Queens NYC,Private room,1088.0,2.0,1.0,No parties & No visitors,2,Norfolk
1684,Modern cheap huge 1bd apt next to Central Pk & sub,Entire home/apt,791.0,1.0,5.0,No children under 10 & No visitors & No pets,4,Anchorage
1685,Private Bedroom in Greenpoint,Private room,169.0,2.0,4.0,No parties & No children under 10,2,Jacksonville
1686,Sunny 2 bd + Private rooftop on best GP street,Entire home/apt,293.0,3.0,3.0,No visitors & No parties,3,Billings
1687,Spacious new and luxurious apartment!,Entire home/apt,951.0,2.0,3.0,No children under 10 & No visitors,3,Great Falls
1688,Airy Brooklyn Limestone:  2 bedroom suite,Private room,603.0,3.0,3.0,No visitors & No children under 10,2,San Antonio
1689,Gorgeous Sun-filled Rooftop Apt in Prime Harlem,Entire home/apt,120.0,4.0,2.0,No parties,2,Joplin
1690,Cozy&Central:EmpireState/Highline/Times Square,Entire home/apt,628.0,3.0,3.0,No visitors & No pets & No smoking,4,Dallas
1691,Large suite with private bathroom (15 min to city),Private room,764.0,3.0,3.0,No pets,2,Richmond
1692,LES Studio with Large Patio,Entire home/apt,333.0,4.0,3.0,No children under 10 & No visitors,3,Pasco
1693,Cozy Apt in Centrally Located Brooklyn Heights,Entire home/apt,1040.0,2.0,5.0,No children under 10 & No smoking,8,Kahului
1694,Stunning Private Room in Awesome BK,Private room,688.0,3.0,4.0,No visitors & No children under 10 & No pets,1,Jackson
1695,"Cozy lofted room, with patio",Private room,731.0,1.0,1.0,,2,Texarkana
1696,For Female Cozy Shared Room in Midtown West,Shared room,401.0,1.0,3.0,No children under 10,1,Petersburg
1697,哥大附近卧室 Room on Upper West/Columbia,Private room,388.0,15.0,2.0,,2,Scottsbluff
1698,Big private room in Sunnyside NYC 7 min Subway,Private room,374.0,1.0,5.0,No visitors & No pets,1,Boise
1699,Livin' La Vida Brooklyn!!!,Entire home/apt,240.0,2.0,3.0,,3,Hagerstown
1700,"Beautiful Flatiron 3 Bedroom, 2 Bath Loft",Entire home/apt,241.0,5.0,2.0,No parties,2,Fairbanks
1701,A beautiful Room In A Safe Sheepshead Bay Area.,Private room,438.0,2.0,5.0,No parties,1,Raleigh
1702,HK AUTHENTIC TENEMENT UPDATED,Private room,162.0,1.0,3.0,No parties & No pets,1,Akron
1703,Cozy room in south Harlem - 10 mins to Columbia,Private room,564.0,1.0,5.0,No visitors & No children under 10,2,Austin
1704,Newly renovated duplex home in Central Harlem,Entire home/apt,289.0,2.0,3.0,No smoking,2,Spokane
1705,Sunny Room w/ Private Bath in Williamsburg!,Private room,507.0,3.0,2.0,No visitors & No children under 10,2,Burbank
1706,Charming Shared Place in East Manhattan,Shared room,350.0,2.0,4.0,No parties & No pets,1,Charlottesville
1707,Stunning duplex. EXCELLENT location. Fort Greene!!,Entire home/apt,160.0,2.0,5.0,No smoking & No pets,2,Wichita
1708,"Lovely, Modern, Garden Apartment",Entire home/apt,209.0,,3.0,No pets & No children under 10,2,Baton Rouge
1709,"Peaceful Retreat, One stop from Manhattan",Entire home/apt,391.0,3.0,2.0,No visitors,3,Sioux Falls
1710,Warm Artistic Wburg Loft Off 4 Train Lines,Entire home/apt,831.0,5.0,4.0,No pets,2,Bemidji
1711,Private Room in Bed-Stuy,Private room,1114.0,1.0,2.0,No smoking,2,Bellingham
1712,Private Room in Brooklyn,Private room,159.0,1.0,2.0,No children under 10,2,Bristol
1713,Artist Home 5 minute walk to Metro 30min from JFK,Shared room,1042.0,3.0,5.0,No parties,1,Christiansted
1714,Roomy Riverside Apartment,Private room,561.0,2.0,5.0,No pets,1,Marquette
1715,Comfy and Cozy [BEST RATE],Private room,401.0,1.0,5.0,No parties & No visitors,2,Bismarck
1716,Have Whole Apt! Prime Williamsburg!,Entire home/apt,130.0,1.0,5.0,No pets & No parties & No smoking,2,Staunton
1717,ROOM  TWO,Private room,112.0,3.0,5.0,No children under 10,2,Minneapolis
1718,Private Sunny Bedroom in a Modern 2 Bedroom Co-op,Private room,554.0,1.0,5.0,No parties,1,San Jose
1719,Cozy room with queen bed in 4b,Private room,52.0,3.0,2.0,No pets,2,Duluth
1720,Large studio all to yourself,Entire home/apt,393.0,7.0,3.0,No pets,2,Norfolk
1721,Luxury 1BR in NYC + Great Amenities & Rooftop Ter.,Entire home/apt,558.0,30.0,3.0,No smoking & No pets & No parties,3,Brownsville
1722,Modern Clean Studio 2 blocks from Central Park,Entire home/apt,1015.0,1.0,4.0,,3,Pittsburgh
1723,Outdoor Space  2bed 2bath plus POOL,Entire home/apt,790.0,31.0,5.0,No children under 10 & No smoking,6,Kalispell
